290	1
203	1
200	1
194	1
187	1
186	1
173	1
172	2
170	2
169	1
164	1
163	2
162	1
161	1
160	2
159	1
158	1
157	1
156	1
151	1
149	1
146	1
143	1
140	1
136	3
134	2
133	2
132	2
131	2
130	1
129	1
128	3
127	1
126	4
125	2
124	3
122	8
121	2
120	3
119	1
118	7
117	2
116	8
115	1
114	10
113	2
112	6
111	4
110	9
109	5
108	8
107	5
106	13
105	5
104	17
103	7
102	19
101	11
100	18
99	7
98	26
97	12
96	26
95	6
94	32
93	20
92	39
91	26
90	51
89	22
88	68
87	42
86	65
85	34
84	95
83	52
82	140
81	70
80	174
79	79
78	174
77	111
76	265
75	114
74	264
73	170
72	344
71	198
70	479
69	284
68	627
67	307
66	787
65	420
64	992
63	602
62	1336
61	747
60	1649
59	974
58	2231
57	1205
56	2954
55	1584
54	3785
53	2111
52	5262
51	2663
50	6856
49	3573
48	9261
47	4711
46	12053
45	5866
44	16663
43	8076
42	22451
41	10352
40	30215
39	14011
38	40856
37	18148
36	56665
35	24383
34	77355
33	31957
32	106510
31	42087
30	146497
29	55762
28	204024
27	73310
26	283988
25	96815
24	398464
23	128270
22	561400
21	168880
20	795557
19	222391
18	1136563
17	293162
16	1638900
15	383130
14	2393502
13	503054
12	3542121
11	652384
10	5364307
9	853587
8	8420140
7	1127488
6	14204809
5	1618334
4	29121840
3	3581181
2	173220545
1	45419177
